Anio;Trimestre;Provincia;Accesos por cada 100 hogares;Dia;Mes
2016;4;La Pampa;63.01618277;1;11
2016;4;La Rioja;16.45531638;1;11
2016;4;Mendoza;32.10735338;1;11
2016;4;Misiones;29.72014981;1;11
2016;4;Neuquén;60.87366723;1;11
2016;4;Río Negro;46.38521035;1;11
2016;4;Salta;32.69411974;1;11
2016;4;San Juan;27.29242145;1;11
2016;4;San Luis;9.640682435;1;11
2016;4;Santa Cruz;27.04676021;1;11
2016;4;Santa Fe;52.19105024;1;11
2016;4;Santiago Del Estero;15.06784751;1;11
2016;4;Tierra Del Fuego;70.30526591;1;11
2016;4;Tucumán;37.9807622;1;11
2016;3;Buenos Aires;60.14329545;1;8
2016;3;Capital Federal;120.7728778;1;8
2016;3;Catamarca;26.48067676;1;8
2016;3;Chaco;28.91074907;1;8
2016;3;Chubut;36.17869443;1;8
2016;3;Córdoba;58.24381626;1;8
2016;3;Corrientes;31.06687883;1;8
2016;3;Entre Ríos;45.43514088;1;8
2016;3;Formosa;18.6397083;1;8
2016;3;Jujuy;22.60515427;1;8
2016;3;La Pampa;61.73178544;1;8
2016;3;La Rioja;17.07455911;1;8
2016;3;Mendoza;32.08835885;1;8
2016;3;Misiones;29.90538578;1;8
2016;3;Neuquén;60.21485089;1;8
2016;3;Río Negro;46.38796536;1;8
2016;3;Salta;32.95583168;1;8
2016;3;San Juan;27.31712714;1;8
2016;3;San Luis;9.630539687;1;8
2016;3;Santa Cruz;26.8352019;1;8
2016;3;Santa Fe;52.67215037;1;8
2016;3;Santiago Del Estero;15.32964658;1;8
2016;3;Tierra Del Fuego;68.94049249;1;8
2016;3;Tucumán;37.89736341;1;8
2016;2;Buenos Aires;59.33852679;1;5
2016;2;Capital Federal;120.039535;1;5
2016;2;Catamarca;26.07418806;1;5
2016;2;Chaco;28.59355056;1;5
2016;2;Chubut;36.12438566;1;5
2016;2;Córdoba;57.54798053;1;5
2016;2;Corrientes;30.58016205;1;5
2016;2;Entre Ríos;44.73887455;1;5
2016;2;Formosa;19.37007066;1;5
2016;2;Jujuy;21.88828104;1;5
2016;2;La Pampa;60.43686026;1;5
2016;2;La Rioja;16.87890261;1;5
2016;2;Mendoza;32.12597179;1;5
2016;2;Misiones;29.23951282;1;5
2016;2;Neuquén;59.09828553;1;5
2016;2;Río Negro;46.24011308;1;5
2016;2;Salta;32.08172603;1;5
2016;2;San Juan;27.34078151;1;5
2016;2;San Luis;9.603733852;1;5
2016;2;Santa Cruz;26.72891173;1;5
2016;2;Santa Fe;52.43647726;1;5
2016;2;Santiago Del Estero;15.88892505;1;5
2016;2;Tierra Del Fuego;67.71824288;1;5
2016;2;Tucumán;37.23568289;1;5
2016;1;Buenos Aires;57.33590782;1;2
2016;1;Capital Federal;115.1600589;1;2
2016;1;Catamarca;25.91021798;1;2
2016;1;Chaco;28.07514645;1;2
2016;1;Chubut;36.09270554;1;2
2016;1;Córdoba;55.28309278;1;2
2016;1;Corrientes;30.080785;1;2
2016;1;Entre Ríos;43.84596814;1;2
2016;1;Formosa;19.04187837;1;2
2016;1;Jujuy;21.41001129;1;2
2016;1;La Pampa;57.84086866;1;2
2016;1;La Rioja;16.83351837;1;2
2016;1;Mendoza;32.12333889;1;2
2016;1;Misiones;28.36765259;1;2
2016;1;Neuquén;55.753937;1;2
2016;1;Río Negro;45.83512639;1;2
2016;1;Salta;31.31554597;1;2
2016;1;San Juan;27.33079411;1;2
2016;1;San Luis;9.586346283;1;2
2016;1;Santa Cruz;26.86586252;1;2
2016;1;Santa Fe;51.27734085;1;2
2016;1;Santiago Del Estero;16.20574921;1;2
2016;1;Tierra Del Fuego;65.83304163;1;2
2016;1;Tucumán;36.72477137;1;2
2015;4;Buenos Aires;58.29182183;1;11
2015;4;Capital Federal;118.1303632;1;11
2015;4;Catamarca;26.23945179;1;11
2015;4;Chaco;28.35056624;1;11
2015;4;Chubut;36.89017828;1;11
2015;4;Córdoba;57.36488177;1;11
2015;4;Corrientes;30.33643145;1;11
2015;4;Entre Ríos;44.10854807;1;11
2015;4;Formosa;19.06549152;1;11
2015;4;Jujuy;21.47147379;1;11
2015;4;La Pampa;58.7563372;1;11
2015;4;La Rioja;17.31577865;1;11
2015;4;Mendoza;32.4889525;1;11
